"","ID","Language","Glottocode","Cognate_Set","Form","Concept","Concept_ID","Source","Source_Page","Comment","Macro_Region"
"1",1,"Ak = Akuntsú","akun1241","I-1","õn","I/ME",2301,"Galucio et al. 2015",249," ","South America"
"2",2,"Ar = Aruá","arua1261","I-1","õõt","I/ME",2301,"Galucio et al. 2015",249,"","South America"
"3",3,"Aw = Awetí","awet1244","I-2","ito","I/ME",2301,"Galucio et al. 2015",249,"","South America"
"4",4,"Gv = Gavião","gavi1246","I-1","õõt","I/ME",2301,"Galucio et al. 2015",249,"","South America"
"5",5,"Ju = Jurúna","juru1256","I-1","una","I/ME",2301,"Galucio et al. 2015",249,"","South America"
"6",6,"Ka = Káro","karo1305","I-1","<U+0294>õn","I/ME",2301,"Galucio et al. 2015",249,"","South America"
"7",7,"Kt = Karitiána","kari1311","I-1","in","I/ME",2301,"Galucio et al. 2015",249,"","South America"
"8",8,"Ku = Kuruáya","kuru1309","I-1","õn","I/ME",2301,"Galucio et al. 2015",249,"","South America"
"9",9,"Ma = Makuráp","maku1278","I-1","õn","I/ME",2301,"Galucio et al. 2015",249,"","South America"
"10",10,"Me = Mekéns","saki1248","I-1","õn","I/ME",2301,"Galucio et al. 2015",249,"","South America"
"11",11,"Mu = Mundurukú","mund1330","I-1","<U+1E4D>n","I/ME",2301,"Galucio et al. 2015",249,"","South America"
"12",12,"Mw = Mawé","sate1243","I-2","ujto","I/ME",2301,"Galucio et al. 2015",249,"","South America"
"13",13,"Pg = Paraguayan Guaraní","para1311","I-2","<U+0283>e","I/ME",2301,"Galucio et al. 2015",249,"","South America"
"14",14,"Pt = Parintintín","tenh1241","I-2","ji ~ hi","I/ME",2301,"Galucio et al. 2015",249,"","South America"
"15",15,"Pu = Puruborá","puru1264","I-1","<U+0294>õn","I/ME",2301,"Galucio et al. 2015",249,"","South America"
"16",16,"Sa = Salamãy","sala1273","I-1","õõt","I/ME",2301,"Galucio et al. 2015",249,"","South America"
"17",17,"Su = Suruí","suru1262","I-1","ó.<U+1EBD>n","I/ME",2301,"Galucio et al. 2015",249,"","South America"
"18",18,"Ta = Tapirapé","tapi1254","I-2","ie","I/ME",2301,"Galucio et al. 2015",249,"","South America"
"19",19,"Tu = Tuparí","tupa1250","I-1","õn","I/ME",2301,"Galucio et al. 2015",249,"","South America"
"20",20,"Uk = Urubú-Ka’apór","urub1250","I-2","ih<U+1EBD>","I/ME",2301,"Galucio et al. 2015",249,"","South America"
"21",21,"Wa = Wayoró","wayo1238","I-1","õn","I/ME",2301,"Galucio et al. 2015",249,"","South America"
"22",22,"Xi = Xipáya","xipa1240","I-1","una","I/ME",2301,"Galucio et al. 2015",249,"","South America"
"23",23,"Zo = Zoró","zoro1244","I-1","õõt","I/ME",2301,"Galucio et al. 2015",249,"","South America"
"24",24,"Ak = Akuntsú","akun1241","FISH-2","kojtpit","FISH",227,"Galucio et al. 2015",251,"","South America"
"25",25,"Ar = Aruá","arua1261","FISH-1","bolíp","FISH",227,"Galucio et al. 2015",251,"","South America"
